BRNO,IS_WEEKEND,TIME_SLOT,VISITOR_COUNT,CONGESTION_LEVEL,TOTAL_PAYMENT_AMT,AVG_PAYMENT_AMT,STORE_NM,ROAD_NM_CD,ACTIVITY_TYPE_CD
413334076.0,0,afternoon,2,LOW,6000.0,6000.0,예터칼국수,3263048.0,1
622333721.0,1,afternoon,2,LOW,12000.0,12000.0,현완단겸상추튀김,3159011.0,1
1011596685.0,1,afternoon,4,LOW,44000.0,44000.0,애니멀빌리지,4508397.0,3
1011606439.0,1,night,3,LOW,36000.0,36000.0,아이것이갈비탕이다,4598391.0,1
1011632918.0,1,afternoon,2,LOW,26000.0,26000.0,대아우렁이식당,3000117.0,1
1013170915.0,1,afternoon,3,LOW,13800.0,13800.0,파스쿠찌,4556619.0,1
1013235399.0,0,afternoon,2,LOW,100000.0,100000.0,여수요트,4646883.0,3
1017200197.0,1,afternoon,1,LOW,29000.0,29000.0,여수광장국밥,4646918.0,1
1017800239.0,1,afternoon,3,LOW,17100.0,17100.0,화이트브릭,4640539.0,1
1018130747.0,0,afternoon,16,MEDIUM,47600.0,15866.666666666666,부여(공주)휴게소,1000030.0,1
1018130747.0,0,morning,10,MEDIUM,115200.0,23040.0,부여(공주)휴게소,1000030.0,1
1018130747.0,0,night,6,LOW,79500.0,26500.0,부여(공주)휴게소,1000030.0,1
1018130747.0,1,afternoon,5,LOW,23000.0,11500.0,부여(공주)휴게소,1000030.0,1
1018130747.0,1,dawn,5,LOW,3800.0,3800.0,부여(공주)휴게소,1000030.0,1
1018130747.0,1,morning,25,MEDIUM,178000.0,22250.0,부여(공주)휴게소,1000030.0,1
1018183356.0,1,morning,2,LOW,0.0,0.0,루이엘모자박물관,4598320.0,3
1018547682.0,1,night,3,LOW,49800.0,49800.0,삼성타코(수원),3177022.0,1
1018547912.0,1,afternoon,1,LOW,9000.0,9000.0,애니멀공화국,4511861.0,3
1018635543.0,1,afternoon,2,LOW,559500.0,559500.0,자라리테일코리아주식회사,2010001.0,2
1018651922.0,0,morning,2,LOW,6000.0,6000.0,카페오가다 카이스트점,3167083.0,1
1018676277.0,0,afternoon,1,LOW,2500.0,2500.0,버거킹,3121017.0,1
